,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,12655.16,297.8,580.89,73.18,12.68
BareSoil,1.18,707.65,88.93,21.24,10.62
Bush,278.5,513.32,2009.27,83.86,3.57
BuiltUp,4.73,10.0,32.19,74.43,0.19
Waterbodies,0.47,3.59,0.11,0.36,33.18
