,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,12944.32,30.4,193.31,29.16,1.37
BareSoil,2.06,807.57,38.17,19.2,4.53
Bush,391.11,76.83,2692.61,57.09,0.02
BuiltUp,4.08,10.7,29.12,112.13,1.45
Waterbodies,0.64,4.31,0.0,0.21,46.74
