,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,12707.66,214.68,375.07,42.72,2.07
BareSoil,4.42,865.05,26.44,26.38,7.52
Bush,213.66,419.47,2249.14,68.89,2.04
BuiltUp,12.35,27.27,60.73,114.93,2.52
Waterbodies,1.95,5.89,0.02,0.15,46.09
