,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,13081.39,13.5,331.51,8.1,3.39
BareSoil,1.48,774.2,66.34,14.48,10.7
Bush,111.21,68.84,2732.51,19.64,1.34
BuiltUp,4.28,13.65,87.29,114.54,1.29
Waterbodies,0.2,1.32,0.0,0.72,35.19
