,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,13103.5,56.15,403.1,47.67,9.3
BareSoil,0.28,688.7,109.13,20.68,10.83
Bush,235.83,175.44,2411.95,64.02,1.29
BuiltUp,2.48,5.54,29.0,84.47,0.05
Waterbodies,0.11,3.99,0.02,0.95,32.64
