,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,13299.07,14.05,291.03,12.44,3.12
BareSoil,0.18,727.86,82.05,16.16,3.39
Bush,136.66,114.74,2540.04,97.04,0.03
BuiltUp,1.8,5.85,20.41,93.45,0.04
Waterbodies,0.18,4.7,0.02,1.97,30.84
