,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,13192.66,32.67,155.04,12.88,0.59
BareSoil,0.26,982.96,62.04,38.02,1.77
Bush,255.94,85.93,2350.42,92.22,0.02
BuiltUp,6.02,16.91,40.2,115.22,0.06
Waterbodies,6.48,3.59,0.92,2.42,41.87
