,Vegetation,BareSoil,Bush,BuiltUp,Waterbodies
Vegetation,12876.45,79.58,460.62,35.79,8.93
BareSoil,0.11,1090.39,8.2,18.7,4.65
Bush,61.4,287.61,2189.55,67.41,2.64
BuiltUp,1.99,72.55,53.01,131.17,2.05
Waterbodies,0.1,2.24,0.0,0.01,41.96
