Class,PA(%),UA(%),F1(%),Year
vegetation,100.0,96.49,98.21,2024
baresoil,100.0,93.75,96.77,2024
bush,95.56,87.76,91.49,2024
builtup,60.0,88.24,71.43,2024
waterbodies,93.33,100.0,96.55,2024
