,Pred:vegetation,Pred:baresoil,Pred:bush,Pred:builtup,Pred:waterbodies
Act:vegetation,55,0,0,0,0
Act:baresoil,0,45,0,0,0
Act:bush,0,0,43,2,0
Act:builtup,1,3,6,15,0
Act:waterbodies,1,0,0,0,14
