Class,PA(%),UA(%),F1(%),Year
vegetation,100.0,98.21,99.1,2023
baresoil,95.56,84.31,89.58,2023
bush,97.78,88.0,92.63,2023
builtup,44.0,84.62,57.89,2023
waterbodies,100.0,100.0,100.0,2023
