Rank,Feature,Importance,Year
1,NDWI,0.112509,2019
2,BSI,0.108057,2019
3,Clay,0.104984,2019
4,EVI,0.099819,2019
5,NDVI,0.098832,2019
6,MSAVI2,0.08772,2019
7,NBR,0.085978,2019
8,Ferrous,0.081628,2019
9,VV_VH_ratio,0.079122,2019
10,VV,0.071266,2019
11,VH,0.070086,2019
