Rank,Feature,Importance,Year
1,BSI,0.141664,2025
2,NDWI,0.135467,2025
3,NDVI,0.098585,2025
4,Clay,0.090943,2025
5,EVI,0.088131,2025
6,MSAVI2,0.086803,2025
7,VV,0.079658,2025
8,Ferrous,0.07602,2025
9,VV_VH_ratio,0.073054,2025
10,NBR,0.069184,2025
11,VH,0.060491,2025
