Rank,Feature,Importance,Year
1,NDWI,0.148642,2020
2,EVI,0.111592,2020
3,NDVI,0.104192,2020
4,BSI,0.103837,2020
5,VV,0.095579,2020
6,VV_VH_ratio,0.079432,2020
7,VH,0.077242,2020
8,Clay,0.076177,2020
9,MSAVI2,0.076082,2020
10,Ferrous,0.066608,2020
11,NBR,0.060618,2020
