Rank,Feature,Avg
1,NDWI,0.14110342857142857
2,BSI,0.11100985714285715
3,NDVI,0.11081357142857143
4,EVI,0.100471
5,Clay,0.09088814285714286
6,MSAVI2,0.08007671428571429
7,VV,0.07679342857142857
8,Ferrous,0.076092
9,VV_VH_ratio,0.07599014285714287
10,NBR,0.07418057142857142
11,VH,0.06258171428571428
