,Pred:vegetation,Pred:baresoil,Pred:bush,Pred:builtup,Pred:waterbodies
Act:vegetation,55,0,0,0,0
Act:baresoil,0,43,0,2,0
Act:bush,0,1,44,0,0
Act:builtup,1,7,6,11,0
Act:waterbodies,0,0,0,0,15
