Class,PA(%),UA(%),F1(%),Year
vegetation,100.0,100.0,100.0,2019
baresoil,97.78,80.0,88.0,2019
bush,93.88,83.64,88.46,2019
builtup,52.38,100.0,68.75,2019
waterbodies,60.0,100.0,75.0,2019
