Class,PA(%),UA(%),F1(%),Year
vegetation,100.0,100.0,100.0,2022
baresoil,100.0,86.54,92.78,2022
bush,100.0,91.84,95.74,2022
builtup,56.0,100.0,71.79,2022
waterbodies,100.0,100.0,100.0,2022
