Class,PA(%),UA(%),F1(%),Year
vegetation,100.0,100.0,100.0,2020
baresoil,95.56,84.31,89.58,2020
bush,97.78,88.0,92.63,2020
builtup,56.0,87.5,68.29,2020
waterbodies,86.67,100.0,92.86,2020
