Class,PA(%),UA(%),F1(%),Year
vegetation,100.0,100.0,100.0,2021
baresoil,97.78,89.8,93.62,2021
bush,95.56,89.58,92.47,2021
builtup,68.0,94.44,79.07,2021
waterbodies,93.33,93.33,93.33,2021
