Rank,Feature,Importance,Year
1,NDWI,0.151705,2022
2,NDVI,0.112564,2022
3,Clay,0.109069,2022
4,BSI,0.108556,2022
5,EVI,0.104562,2022
6,Ferrous,0.07731,2022
7,NBR,0.076243,2022
8,MSAVI2,0.076135,2022
9,VV_VH_ratio,0.066998,2022
10,VV,0.061489,2022
11,VH,0.055369,2022
